製造メーカー名,型式（モデル）,機体の最大長,固定バッファ,GPS精度,位置保持精度,地図誤差,最大速度,応答時間,高度の測定誤差の種別,運動エネルギーによる高さ補正の種別,操作の遅れによる高さ補正の種別,操作の遅れによる距離補正の種別,運動エネルギーによる距離補正の種別
メーカー4,型番4_1,1.7,15,3,2,1,10,0.5,gps,multirotor,automatic,automatic,multirotor
メーカー4,型番4_2,0.637,15,0.01,0.8,1,15,0.5,gps,multirotor,automatic,automatic,multirotor
